0,42,1,[42]
1,40,1,[42, 40]
2,17,1,[42, 40, 17]
3,20,1,[42, 40, 17, 20]
77,27,1,[16, 26, 24, 28, 27]
78,26,0,[16, 24, 28, 27, 26]
79,25,1,[24, 28, 27, 26, 25]
80,24,0,[28, 27, 26, 25, 24]
81,25,0,[28, 27, 26, 24, 25]
82,27,0,[28, 26, 24, 25, 27]
83,24,0,[28, 26, 25, 27, 24]
84,37,1,[26, 25, 27, 24, 37]
85,25,0,[26, 27, 24, 37, 25]
86,27,0,[26, 24, 37, 25, 27]
87,26,0,[24, 37, 25, 27, 26]
88,27,0,[24, 37, 25, 26, 27]
89,27,0,[24, 37, 25, 26, 27]
90,24,0,[37, 25, 26, 27, 24]
91,27,0,[37, 25, 26, 24, 27]
92,3,1,[25, 26, 24, 27, 3]
93,28,1,[26, 24, 27, 3, 28]
94,24,0,[26, 27, 3, 28, 24]
95,34,1,[27, 3, 28, 24, 34]
96,27,0,[3, 28, 24, 34, 27]
97,25,1,[28, 24, 34, 27, 25]
98,31,1,[24, 34, 27, 25, 31]
99,28,1,[34, 27, 25, 31, 28]
100,5,1,[27, 25, 31, 28, 5]
101,25,0,[27, 31, 28, 5, 25]
102,10,1,[31, 28, 5, 25, 10]
103,10,0,[31, 28, 5, 25, 10]
104,10,0,[31, 28, 5, 25, 10]
105,2,1,[28, 5, 25, 10, 2]
106,14,1,[5, 25, 10, 2, 14]
107,8,1,[25, 10, 2, 14, 8]
108,9,1,[10, 2, 14, 8, 9]
109,8,0,[10, 2, 14, 9, 8]
110,9,0,[10, 2, 14, 8, 9]
111,10,0,[2, 14, 8, 9, 10]
112,39,1,[14, 8, 9, 10, 39]
113,36,1,[8, 9, 10, 39, 36]
114,37,1,[9, 10, 39, 36, 37]
115,38,1,[10, 39, 36, 37, 38]
116,36,0,[10, 39, 37, 38, 36]
117,38,0,[10, 39, 37, 36, 38]
118,8,1,[39, 37, 36, 38, 8]
119,36,0,[39, 37, 38, 8, 36]
120,20,1,[37, 38, 8, 36, 20]
121,36,0,[37, 38, 8, 20, 36]
122,38,0,[37, 8, 20, 36, 38]
123,37,0,[8, 20, 36, 38, 37]
124,37,0,[8, 20, 36, 38, 37]
125,36,0,[8, 20, 38, 37, 36]
126,32,1,[20, 38, 37, 36, 32]
127,41,1,[38, 37, 36, 32, 41]
128,39,1,[37, 36, 32, 41, 39]
129,35,1,[36, 32, 41, 39, 35]
130,36,0,[32, 41, 39, 35, 36]
131,33,1,[41, 39, 35, 36, 33]
132,36,0,[41, 39, 35, 33, 36]
133,34,1,[39, 35, 33, 36, 34]
134,12,1,[35, 33, 36, 34, 12]
135,32,1,[33, 36, 34, 12, 32]
136,43,1,[36, 34, 12, 32, 43]
137,32,0,[36, 34, 12, 43, 32]
138,33,1,[34, 12, 43, 32, 33]
139,34,0,[12, 43, 32, 33, 34]
140,33,0,[12, 43, 32, 34, 33]
141,6,1,[43, 32, 34, 33, 6]
142,43,0,[32, 34, 33, 6, 43]
143,32,0,[34, 33, 6, 43, 32]
144,33,0,[34, 6, 43, 32, 33]
145,31,1,[6, 43, 32, 33, 31]
146,35,1,[43, 32, 33, 31, 35]
147,31,0,[43, 32, 33, 35, 31]
148,31,0,[43, 32, 33, 35, 31]
149,35,0,[43, 32, 33, 31, 35]
150,32,0,[43, 33, 31, 35, 32]
151,1,1,[33, 31, 35, 32, 1]
152,34,1,[31, 35, 32, 1, 34]
153,11,1,[35, 32, 1, 34, 11]
154,39,1,[32, 1, 34, 11, 39]
155,34,0,[32, 1, 11, 39, 34]
156,32,0,[1, 11, 39, 34, 32]
157,34,0,[1, 11, 39, 32, 34]
158,34,0,[1, 11, 39, 32, 34]
159,31,1,[11, 39, 32, 34, 31]
160,33,1,[39, 32, 34, 31, 33]
161,31,0,[39, 32, 34, 33, 31]
162,35,1,[32, 34, 33, 31, 35]
163,33,0,[32, 34, 31, 35, 33]
164,34,0,[32, 31, 35, 33, 34]
165,34,0,[32, 31, 35, 33, 34]
166,35,0,[32, 31, 33, 34, 35]
167,35,0,[32, 31, 33, 34, 35]
168,35,0,[32, 31, 33, 34, 35]
169,31,0,[32, 33, 34, 35, 31]
170,30,1,[33, 34, 35, 31, 30]
171,31,0,[33, 34, 35, 30, 31]
172,34,0,[33, 35, 30, 31, 34]
173,34,0,[33, 35, 30, 31, 34]
174,10,1,[35, 30, 31, 34, 10]
175,35,0,[30, 31, 34, 10, 35]
176,33,1,[31, 34, 10, 35, 33]
177,35,0,[31, 34, 10, 33, 35]
178,11,1,[34, 10, 33, 35, 11]
179,32,1,[10, 33, 35, 11, 32]
180,35,0,[10, 33, 11, 32, 35]
181,32,0,[10, 33, 11, 35, 32]
182,36,1,[33, 11, 35, 32, 36]
183,32,0,[33, 11, 35, 36, 32]
184,26,1,[11, 35, 36, 32, 26]
185,31,1,[35, 36, 32, 26, 31]
186,35,0,[36, 32, 26, 31, 35]
187,32,0,[36, 26, 31, 35, 32]
188,35,0,[36, 26, 31, 32, 35]
189,34,1,[26, 31, 32, 35, 34]
190,32,0,[26, 31, 35, 34, 32]
191,31,0,[26, 35, 34, 32, 31]
192,35,0,[26, 34, 32, 31, 35]
193,33,1,[34, 32, 31, 35, 33]
194,19,1,[32, 31, 35, 33, 19]
195,31,0,[32, 35, 33, 19, 31]
196,33,0,[32, 35, 19, 31, 33]
197,14,1,[35, 19, 31, 33, 14]
198,35,0,[19, 31, 33, 14, 35]
199,3,1,[31, 33, 14, 35, 3]
200,35,0,[31, 33, 14, 3, 35]
201,27,1,[33, 14, 3, 35, 27]
202,32,1,[14, 3, 35, 27, 32]
203,33,1,[3, 35, 27, 32, 33]
204,17,1,[35, 27, 32, 33, 17]
205,32,0,[35, 27, 33, 17, 32]
206,32,0,[35, 27, 33, 17, 32]
207,31,1,[27, 33, 17, 32, 31]
208,34,1,[33, 17, 32, 31, 34]
209,33,0,[17, 32, 31, 34, 33]
210,35,1,[32, 31, 34, 33, 35]
211,31,0,[32, 34, 33, 35, 31]
212,34,0,[32, 33, 35, 31, 34]
213,31,0,[32, 33, 35, 34, 31]
214,14,1,[33, 35, 34, 31, 14]
215,9,1,[35, 34, 31, 14, 9]
216,18,1,[34, 31, 14, 9, 18]
217,14,0,[34, 31, 9, 18, 14]
218,22,1,[31, 9, 18, 14, 22]
219,15,1,[9, 18, 14, 22, 15]
220,14,0,[9, 18, 22, 15, 14]
221,42,1,[18, 22, 15, 14, 42]
222,18,0,[22, 15, 14, 42, 18]
223,18,0,[22, 15, 14, 42, 18]
224,18,0,[22, 15, 14, 42, 18]
225,18,0,[22, 15, 14, 42, 18]
226,18,0,[22, 15, 14, 42, 18]
227,14,0,[22, 15, 42, 18, 14]
228,18,0,[22, 15, 42, 14, 18]
229,18,0,[22, 15, 42, 14, 18]
230,18,0,[22, 15, 42, 14, 18]
231,33,1,[15, 42, 14, 18, 33]
232,11,1,[42, 14, 18, 33, 11]
233,11,0,[42, 14, 18, 33, 11]
234,11,0,[42, 14, 18, 33, 11]
235,12,1,[14, 18, 33, 11, 12]
236,9,1,[18, 33, 11, 12, 9]
237,10,1,[33, 11, 12, 9, 10]
238,1,1,[11, 12, 9, 10, 1]
239,14,1,[12, 9, 10, 1, 14]
240,15,1,[9, 10, 1, 14, 15]
241,15,0,[9, 10, 1, 14, 15]
242,36,1,[10, 1, 14, 15, 36]
243,14,0,[10, 1, 15, 36, 14]
244,16,1,[1, 15, 36, 14, 16]
245,15,0,[1, 36, 14, 16, 15]
246,14,0,[1, 36, 16, 15, 14]
247,15,0,[1, 36, 16, 14, 15]
248,13,1,[36, 16, 14, 15, 13]
249,13,0,[36, 16, 14, 15, 13]
250,13,0,[36, 16, 14, 15, 13]
251,14,0,[36, 16, 15, 13, 14]
252,14,0,[36, 16, 15, 13, 14]
253,15,0,[36, 16, 13, 14, 15]
254,17,1,[16, 13, 14, 15, 17]
255,14,0,[16, 13, 15, 17, 14]
256,16,0,[13, 15, 17, 14, 16]
257,13,0,[15, 17, 14, 16, 13]
258,21,1,[17, 14, 16, 13, 21]
259,44,1,[14, 16, 13, 21, 44]
260,14,0,[16, 13, 21, 44, 14]
261,39,1,[13, 21, 44, 14, 39]
262,17,1,[21, 44, 14, 39, 17]
263,16,1,[44, 14, 39, 17, 16]
264,16,0,[44, 14, 39, 17, 16]
265,17,0,[44, 14, 39, 16, 17]
266,16,0,[44, 14, 39, 17, 16]
267,17,0,[44, 14, 39, 16, 17]
268,15,1,[14, 39, 16, 17, 15]
269,13,1,[39, 16, 17, 15, 13]
270,14,1,[16, 17, 15, 13, 14]
271,45,1,[17, 15, 13, 14, 45]
272,13,0,[17, 15, 14, 45, 13]
273,28,1,[15, 14, 45, 13, 28]
274,13,0,[15, 14, 45, 28, 13]
275,17,1,[14, 45, 28, 13, 17]
276,14,0,[45, 28, 13, 17, 14]
277,17,0,[45, 28, 13, 14, 17]
278,2,1,[28, 13, 14, 17, 2]
279,16,1,[13, 14, 17, 2, 16]
280,15,1,[14, 17, 2, 16, 15]
281,15,0,[14, 17, 2, 16, 15]
282,13,1,[17, 2, 16, 15, 13]
283,15,0,[17, 2, 16, 13, 15]
284,43,1,[2, 16, 13, 15, 43]
285,16,0,[2, 13, 15, 43, 16]
286,16,0,[2, 13, 15, 43, 16]
287,0,1,[13, 15, 43, 16, 0]
288,17,1,[15, 43, 16, 0, 17]
289,17,0,[15, 43, 16, 0, 17]
290,14,1,[43, 16, 0, 17, 14]
291,17,0,[43, 16, 0, 14, 17]
292,17,0,[43, 16, 0, 14, 17]
293,15,1,[16, 0, 14, 17, 15]
294,35,1,[0, 14, 17, 15, 35]
295,16,1,[14, 17, 15, 35, 16]
296,14,0,[17, 15, 35, 16, 14]
297,17,0,[15, 35, 16, 14, 17]
298,14,0,[15, 35, 16, 17, 14]
299,14,0,[15, 35, 16, 17, 14]
300,30,1,[35, 16, 17, 14, 30]
301,28,1,[16, 17, 14, 30, 28]
302,28,0,[16, 17, 14, 30, 28]
303,32,1,[17, 14, 30, 28, 32]
304,33,1,[14, 30, 28, 32, 33]
305,13,1,[30, 28, 32, 33, 13]
306,29,1,[28, 32, 33, 13, 29]
307,15,1,[32, 33, 13, 29, 15]
308,28,1,[33, 13, 29, 15, 28]
309,32,1,[13, 29, 15, 28, 32]
310,29,0,[13, 15, 28, 32, 29]
311,31,1,[15, 28, 32, 29, 31]
312,32,0,[15, 28, 29, 31, 32]
313,32,0,[15, 28, 29, 31, 32]
314,29,0,[15, 28, 31, 32, 29]
315,30,1,[28, 31, 32, 29, 30]
316,7,1,[31, 32, 29, 30, 7]
317,25,1,[32, 29, 30, 7, 25]
318,22,1,[29, 30, 7, 25, 22]
319,25,0,[29, 30, 7, 22, 25]
320,24,1,[30, 7, 22, 25, 24]
321,26,1,[7, 22, 25, 24, 26]
322,22,0,[7, 25, 24, 26, 22]
323,40,1,[25, 24, 26, 22, 40]
324,25,0,[24, 26, 22, 40, 25]
325,25,0,[24, 26, 22, 40, 25]
326,43,1,[26, 22, 40, 25, 43]
327,22,0,[26, 40, 25, 43, 22]
328,25,0,[26, 40, 43, 22, 25]
329,24,1,[40, 43, 22, 25, 24]
330,2,1,[43, 22, 25, 24, 2]
331,25,0,[43, 22, 24, 2, 25]
332,24,0,[43, 22, 2, 25, 24]
333,22,0,[43, 2, 25, 24, 22]
334,22,0,[43, 2, 25, 24, 22]
335,14,1,[2, 25, 24, 22, 14]
336,43,1,[25, 24, 22, 14, 43]
337,23,1,[24, 22, 14, 43, 23]
338,19,1,[22, 14, 43, 23, 19]
339,23,0,[22, 14, 43, 19, 23]
340,26,1,[14, 43, 19, 23, 26]
341,27,1,[43, 19, 23, 26, 27]
342,25,1,[19, 23, 26, 27, 25]
343,24,1,[23, 26, 27, 25, 24]
344,26,0,[23, 27, 25, 24, 26]
345,23,0,[27, 25, 24, 26, 23]
346,23,0,[27, 25, 24, 26, 23]
347,17,1,[25, 24, 26, 23, 17]
348,32,1,[24, 26, 23, 17, 32]
349,15,1,[26, 23, 17, 32, 15]
350,15,0,[26, 23, 17, 32, 15]
351,18,1,[23, 17, 32, 15, 18]
352,14,1,[17, 32, 15, 18, 14]
353,19,1,[32, 15, 18, 14, 19]
354,15,0,[32, 18, 14, 19, 15]
355,18,0,[32, 14, 19, 15, 18]
356,15,0,[32, 14, 19, 18, 15]
357,14,0,[32, 19, 18, 15, 14]
358,15,0,[32, 19, 18, 14, 15]
359,16,1,[19, 18, 14, 15, 16]
360,14,0,[19, 18, 15, 16, 14]
361,16,0,[19, 18, 15, 14, 16]
362,15,0,[19, 18, 14, 16, 15]
363,14,0,[19, 18, 16, 15, 14]
364,17,1,[18, 16, 15, 14, 17]
365,16,0,[18, 15, 14, 17, 16]
366,15,0,[18, 14, 17, 16, 15]
367,17,0,[18, 14, 16, 15, 17]
368,17,0,[18, 14, 16, 15, 17]
369,16,0,[18, 14, 15, 17, 16]
370,18,0,[14, 15, 17, 16, 18]
371,32,1,[15, 17, 16, 18, 32]
372,15,0,[17, 16, 18, 32, 15]
373,18,0,[17, 16, 32, 15, 18]
374,17,0,[16, 32, 15, 18, 17]
375,18,0,[16, 32, 15, 17, 18]
376,17,0,[16, 32, 15, 18, 17]
377,31,1,[32, 15, 18, 17, 31]
378,14,1,[15, 18, 17, 31, 14]
379,14,0,[15, 18, 17, 31, 14]
380,16,1,[18, 17, 31, 14, 16]
381,4,1,[17, 31, 14, 16, 4]
382,13,1,[31, 14, 16, 4, 13]
383,14,0,[31, 16, 4, 13, 14]
384,17,1,[16, 4, 13, 14, 17]
385,15,1,[4, 13, 14, 17, 15]
386,14,0,[4, 13, 17, 15, 14]
387,20,1,[13, 17, 15, 14, 20]
388,40,1,[17, 15, 14, 20, 40]
389,16,1,[15, 14, 20, 40, 16]
390,9,1,[14, 20, 40, 16, 9]
391,8,1,[20, 40, 16, 9, 8]
392,8,0,[20, 40, 16, 9, 8]
393,7,1,[40, 16, 9, 8, 7]
394,7,0,[40, 16, 9, 8, 7]
395,6,1,[16, 9, 8, 7, 6]
396,7,0,[16, 9, 8, 6, 7]
397,10,1,[9, 8, 6, 7, 10]
398,8,0,[9, 6, 7, 10, 8]
399,6,0,[9, 7, 10, 8, 6]
400,6,0,[9, 7, 10, 8, 6]
401,8,0,[9, 7, 10, 6, 8]
402,6,0,[9, 7, 10, 8, 6]
403,10,0,[9, 7, 8, 6, 10]
404,10,0,[9, 7, 8, 6, 10]
405,9,0,[7, 8, 6, 10, 9]
406,23,1,[8, 6, 10, 9, 23]
407,8,0,[6, 10, 9, 23, 8]
408,7,1,[10, 9, 23, 8, 7]
409,8,0,[10, 9, 23, 7, 8]
410,6,1,[9, 23, 7, 8, 6]
411,7,0,[9, 23, 8, 6, 7]
412,14,1,[23, 8, 6, 7, 14]
413,8,0,[23, 6, 7, 14, 8]
414,8,0,[23, 6, 7, 14, 8]
415,9,1,[6, 7, 14, 8, 9]
416,9,0,[6, 7, 14, 8, 9]
417,10,1,[7, 14, 8, 9, 10]
418,9,0,[7, 14, 8, 10, 9]
419,8,0,[7, 14, 10, 9, 8]
420,43,1,[14, 10, 9, 8, 43]
421,9,0,[14, 10, 8, 43, 9]
422,9,0,[14, 10, 8, 43, 9]
423,46,1,[10, 8, 43, 9, 46]
424,8,0,[10, 43, 9, 46, 8]
425,9,0,[10, 43, 46, 8, 9]
426,7,1,[43, 46, 8, 9, 7]
427,8,0,[43, 46, 9, 7, 8]
428,9,0,[43, 46, 7, 8, 9]
429,40,1,[46, 7, 8, 9, 40]
430,17,1,[7, 8, 9, 40, 17]
431,41,1,[8, 9, 40, 17, 41]
432,41,0,[8, 9, 40, 17, 41]
433,6,1,[9, 40, 17, 41, 6]
434,28,1,[40, 17, 41, 6, 28]
435,41,0,[40, 17, 6, 28, 41]
436,14,1,[17, 6, 28, 41, 14]
437,41,0,[17, 6, 28, 14, 41]
438,43,1,[6, 28, 14, 41, 43]
439,43,0,[6, 28, 14, 41, 43]
440,43,0,[6, 28, 14, 41, 43]
441,42,1,[28, 14, 41, 43, 42]
442,41,0,[28, 14, 43, 42, 41]
443,43,0,[28, 14, 42, 41, 43]
444,40,1,[14, 42, 41, 43, 40]
445,42,0,[14, 41, 43, 40, 42]
446,34,1,[41, 43, 40, 42, 34]
447,8,1,[43, 40, 42, 34, 8]
448,43,0,[40, 42, 34, 8, 43]
449,39,1,[42, 34, 8, 43, 39]
450,39,0,[42, 34, 8, 43, 39]
451,41,1,[34, 8, 43, 39, 41]
452,41,0,[34, 8, 43, 39, 41]
453,23,1,[8, 43, 39, 41, 23]
454,29,1,[43, 39, 41, 23, 29]
455,14,1,[39, 41, 23, 29, 14]
456,15,1,[41, 23, 29, 14, 15]
457,14,0,[41, 23, 29, 15, 14]
458,13,1,[23, 29, 15, 14, 13]
459,17,1,[29, 15, 14, 13, 17]
460,17,0,[29, 15, 14, 13, 17]
461,13,0,[29, 15, 14, 17, 13]
462,13,0,[29, 15, 14, 17, 13]
463,15,0,[29, 14, 17, 13, 15]
464,16,1,[14, 17, 13, 15, 16]
465,14,0,[17, 13, 15, 16, 14]
466,13,0,[17, 15, 16, 14, 13]
467,17,0,[15, 16, 14, 13, 17]
468,13,0,[15, 16, 14, 17, 13]
469,15,0,[16, 14, 17, 13, 15]
470,17,0,[16, 14, 13, 15, 17]
471,0,1,[14, 13, 15, 17, 0]
472,13,0,[14, 15, 17, 0, 13]
473,15,0,[14, 17, 0, 13, 15]
474,17,0,[14, 0, 13, 15, 17]
475,14,0,[0, 13, 15, 17, 14]
476,27,1,[13, 15, 17, 14, 27]
477,16,1,[15, 17, 14, 27, 16]
478,17,0,[15, 14, 27, 16, 17]
479,6,1,[14, 27, 16, 17, 6]
480,13,1,[27, 16, 17, 6, 13]
481,15,1,[16, 17, 6, 13, 15]
482,7,1,[17, 6, 13, 15, 7]
483,16,1,[6, 13, 15, 7, 16]
484,14,1,[13, 15, 7, 16, 14]
485,15,0,[13, 7, 16, 14, 15]
486,14,0,[13, 7, 16, 15, 14]
487,17,1,[7, 16, 15, 14, 17]
488,16,0,[7, 15, 14, 17, 16]
489,15,0,[7, 14, 17, 16, 15]
490,2,1,[14, 17, 16, 15, 2]
491,16,0,[14, 17, 15, 2, 16]
492,16,0,[14, 17, 15, 2, 16]
493,15,0,[14, 17, 2, 16, 15]
494,17,0,[14, 2, 16, 15, 17]
495,17,0,[14, 2, 16, 15, 17]
496,16,0,[14, 2, 15, 17, 16]
497,13,1,[2, 15, 17, 16, 13]
498,14,1,[15, 17, 16, 13, 14]
499,14,0,[15, 17, 16, 13, 14]
500,17,0,[15, 16, 13, 14, 17]
501,17,0,[15, 16, 13, 14, 17]
502,17,0,[15, 16, 13, 14, 17]
503,15,0,[16, 13, 14, 17, 15]
504,15,0,[16, 13, 14, 17, 15]
505,17,0,[16, 13, 14, 15, 17]
506,13,0,[16, 14, 15, 17, 13]
507,16,0,[14, 15, 17, 13, 16]
508,17,0,[14, 15, 13, 16, 17]
509,47,1,[15, 13, 16, 17, 47]
510,13,0,[15, 16, 17, 47, 13]
511,14,1,[16, 17, 47, 13, 14]
512,15,1,[17, 47, 13, 14, 15]
513,24,1,[47, 13, 14, 15, 24]
514,14,0,[47, 13, 15, 24, 14]
515,14,0,[47, 13, 15, 24, 14]
516,33,1,[13, 15, 24, 14, 33]
517,28,1,[15, 24, 14, 33, 28]
518,14,0,[15, 24, 33, 28, 14]
519,28,0,[15, 24, 33, 14, 28]
520,17,1,[24, 33, 14, 28, 17]
521,0,1,[33, 14, 28, 17, 0]
522,15,1,[14, 28, 17, 0, 15]
523,18,1,[28, 17, 0, 15, 18]
524,15,0,[28, 17, 0, 18, 15]
525,15,0,[28, 17, 0, 18, 15]
526,14,1,[17, 0, 18, 15, 14]
527,22,1,[0, 18, 15, 14, 22]
528,10,1,[18, 15, 14, 22, 10]
529,13,1,[15, 14, 22, 10, 13]
530,15,0,[14, 22, 10, 13, 15]
531,13,0,[14, 22, 10, 15, 13]
532,7,1,[22, 10, 15, 13, 7]
533,16,1,[10, 15, 13, 7, 16]
534,13,0,[10, 15, 7, 16, 13]
535,44,1,[15, 7, 16, 13, 44]
536,40,1,[7, 16, 13, 44, 40]
537,9,1,[16, 13, 44, 40, 9]
538,8,1,[13, 44, 40, 9, 8]
539,45,1,[44, 40, 9, 8, 45]
540,45,0,[44, 40, 9, 8, 45]
541,46,1,[40, 9, 8, 45, 46]
542,43,1,[9, 8, 45, 46, 43]
543,43,0,[9, 8, 45, 46, 43]
544,44,1,[8, 45, 46, 43, 44]
545,44,0,[8, 45, 46, 43, 44]
546,45,0,[8, 46, 43, 44, 45]
547,46,0,[8, 43, 44, 45, 46]
548,43,0,[8, 44, 45, 46, 43]
549,45,0,[8, 44, 46, 43, 45]
550,46,0,[8, 44, 43, 45, 46]
551,44,0,[8, 43, 45, 46, 44]
552,43,0,[8, 45, 46, 44, 43]
553,4,1,[45, 46, 44, 43, 4]
554,10,1,[46, 44, 43, 4, 10]
555,3,1,[44, 43, 4, 10, 3]
556,4,0,[44, 43, 10, 3, 4]
557,1,1,[43, 10, 3, 4, 1]
558,3,0,[43, 10, 4, 1, 3]
559,1,0,[43, 10, 4, 3, 1]
560,3,0,[43, 10, 4, 1, 3]
561,4,0,[43, 10, 1, 3, 4]
562,3,0,[43, 10, 1, 4, 3]
563,23,1,[10, 1, 4, 3, 23]
564,0,1,[1, 4, 3, 23, 0]
565,1,0,[4, 3, 23, 0, 1]
566,4,0,[3, 23, 0, 1, 4]
567,0,0,[3, 23, 1, 4, 0]
568,3,0,[23, 1, 4, 0, 3]
569,1,0,[23, 4, 0, 3, 1]
570,4,0,[23, 0, 3, 1, 4]
571,26,1,[0, 3, 1, 4, 26]
572,3,0,[0, 1, 4, 26, 3]
573,4,0,[0, 1, 26, 3, 4]
574,1,0,[0, 26, 3, 4, 1]
575,2,1,[26, 3, 4, 1, 2]
576,0,1,[3, 4, 1, 2, 0]
577,2,0,[3, 4, 1, 0, 2]
578,34,1,[4, 1, 0, 2, 34]
579,4,0,[1, 0, 2, 34, 4]
580,3,1,[0, 2, 34, 4, 3]
581,0,0,[2, 34, 4, 3, 0]
582,3,0,[2, 34, 4, 0, 3]
583,2,0,[34, 4, 0, 3, 2]
584,2,0,[34, 4, 0, 3, 2]
585,3,0,[34, 4, 0, 2, 3]
586,4,0,[34, 0, 2, 3, 4]
587,1,1,[0, 2, 3, 4, 1]
588,3,0,[0, 2, 4, 1, 3]
589,3,0,[0, 2, 4, 1, 3]
590,21,1,[2, 4, 1, 3, 21]
591,37,1,[4, 1, 3, 21, 37]
592,3,0,[4, 1, 21, 37, 3]
593,1,0,[4, 21, 37, 3, 1]
594,4,0,[21, 37, 3, 1, 4]
595,40,1,[37, 3, 1, 4, 40]
596,18,1,[3, 1, 4, 40, 18]
597,18,0,[3, 1, 4, 40, 18]
598,13,1,[1, 4, 40, 18, 13]
599,12,1,[4, 40, 18, 13, 12]
600,12,0,[4, 40, 18, 13, 12]
601,13,0,[4, 40, 18, 12, 13]
602,12,0,[4, 40, 18, 13, 12]
603,12,0,[4, 40, 18, 13, 12]
604,13,0,[4, 40, 18, 12, 13]
605,24,1,[40, 18, 12, 13, 24]
606,13,0,[40, 18, 12, 24, 13]
607,18,0,[40, 12, 24, 13, 18]
608,15,1,[12, 24, 13, 18, 15]
609,13,0,[12, 24, 18, 15, 13]
610,16,1,[24, 18, 15, 13, 16]
611,14,1,[18, 15, 13, 16, 14]
612,0,1,[15, 13, 16, 14, 0]
613,16,0,[15, 13, 14, 0, 16]
614,32,1,[13, 14, 0, 16, 32]
615,37,1,[14, 0, 16, 32, 37]
616,34,1,[0, 16, 32, 37, 34]
617,16,0,[0, 32, 37, 34, 16]
618,33,1,[32, 37, 34, 16, 33]
619,33,0,[32, 37, 34, 16, 33]
620,37,0,[32, 34, 16, 33, 37]
621,37,0,[32, 34, 16, 33, 37]
622,35,1,[34, 16, 33, 37, 35]
623,35,0,[34, 16, 33, 37, 35]
624,37,0,[34, 16, 33, 35, 37]
625,33,0,[34, 16, 35, 37, 33]
626,33,0,[34, 16, 35, 37, 33]
627,36,1,[16, 35, 37, 33, 36]
628,16,0,[35, 37, 33, 36, 16]
629,35,0,[37, 33, 36, 16, 35]
630,36,0,[37, 33, 16, 35, 36]
631,36,0,[37, 33, 16, 35, 36]
632,37,0,[33, 16, 35, 36, 37]
633,37,0,[33, 16, 35, 36, 37]
634,34,1,[16, 35, 36, 37, 34]
